CDC_Ext_ID__c,Flag__c,Num1__c,Num2__c,NumOpp1__c,NumOpp2__c,Pricing_Element__c,Text1__c,Text2__c,Text3__c,Text4__c,Text5__c,Text6__c,Text7__c,Text8__c,Text9__c,TextOpp1__c,TextOpp2__c,TextOpp3__c,TextOpp4__c,TextOpp5__c,TextOpp6__c,TextOpp7__c,TextOpp8__c,TextOpp9__c
21,,,,,,Drilling,PTC,,,,,,,,,=,,,,,,,,
22,,,,,,FAModelBase,PTC,,,,,,,,,=,,,,,,,,
