CDC_Ext_ID__c,Flag__c,Lead_Time_Item_No__c,Num1__c,Num2__c,NumOpp1__c,NumOpp2__c,Text1__c,Text2__c,Text3__c,Text4__c,Text5__c,Text6__c,Text7__c,TextOpp1__c,TextOpp2__c,TextOpp3__c,TextOpp4__c,TextOpp5__c,TextOpp6__c,TextOpp7__c
,,Base,,,,,PTC,,,,,,,=,,,,,,
,,PMI,,,,,PTC,,,,,,,=,,,,,,
