"BackpressureLL__c","BackpressureUL__c","CDC_Ext_ID__c","Flag__c","PalletDesign__c","PalletMatlCode__c","PalletType__c","PosProxSensorAvailable__c","PTC__c","SettingLL__c","SettingUL__c","SpacerYN__c","SZC__c","WeightMatlCode__c"
"-14.696","100.0","","","Spring","6","N","N","1221B Fiberglass","15.9999","240.0","N","06","NA"
"-14.696","100.0","","","Spring","7","N","N","1221B Fiberglass","15.9999","240.0","N","06","NA"
"-14.696","100.0","","","Spring","9","N","N","1221B Fiberglass","15.9999","240.0","N","06","NA"
