Document_ID__c,Document__c,Flag__c,NumVal1__c,NumVal2__c,Revision__c,Text1Val__c,Text2Val__c,Text3Val__c,Text4Val__c,Text5Val__c,Text6Val__c,Text7Val__c,Text8Val__c,Text9Val__c,Text10Val__c
IOM-Rus,IOM-Rus,,,,,1221B Fiberglass,,,,,,,,,
AssyDwg,AssyDwg,,,,,1221B Fiberglass,,,,,,,,,
