Attribute__c,Num1__c,Num2__c,NumOpp1__c,NumOpp2__c,Text1__c,Text2__c,Text3__c,Text4__c
TAGSPRGRANGE,,,,,PTC,,,
PNMODEL,,,,,PTC,,,
