"CDC_Ext_ID__c","CreatedById","CreatedDate","CurrencyIsoCode","Id","IsDeleted","LastActivityDate","LastModifiedById","LastModifiedDate","LastReferencedDate","LastViewedDate","Name","Num1__c","Num2__c","NumOpp1__c","NumOpp2__c","OwnerId","Pricing_Element__c","SystemModstamp","Text1__c","Text2__c","Text3__c","Text4__c","Text5__c","Text6__c","Text7__c","Text8__c","Text9__c","TextOpp1__c","TextOpp2__c","TextOpp3__c","TextOpp4__c","TextOpp5__c","TextOpp6__c","TextOpp7__c","TextOpp8__c","TextOpp9__c"
"","0050v000003a4XQAAY","2020-08-03T11:58:29.000Z","USD","a840v0000000LoyAAE","false","","0050v000003iwNrAAI","2020-10-01T15:17:06.000Z","2020-10-08T08:23:44.000Z","2020-10-08T08:23:44.000Z","a5S8A0000009OX6","PosSetPresOSIG","PosSetPresOSIG","<=",">","0050v000003a4XQAAY","SpringPressure","2020-10-01T15:17:06.000Z","ASYTYP","ValveSubModel","PosLoad","SZC","MCBODY","MCSPRG","","","","=ORDASH","=ORDASH","=ORDASH","=ORDASH","=ORDASH","=ORDASH","","",""
"","0050v000003a4XQAAY","2020-08-03T11:58:29.000Z","USD","a840v0000000Lp0AAE","false","","0050v000003iwNrAAI","2020-10-01T15:17:06.000Z","","","a5S8A0000009OX4","","","","","0050v000003a4XQAAY","SpacerPressure","2020-10-01T15:17:06.000Z","PosSpacer","SZC","MCBODY","","","","","","","=","=ORDASH","=ORDASH","","","","","",""
"","0050v000003a4XQAAY","2020-08-03T11:58:29.000Z","USD","a840v0000000Lp1AAE","false","","0050v000003iwNrAAI","2020-10-01T15:17:06.000Z","","","a5S8A0000009OX8","","","","","0050v000003a4XQAAY","SteamJacket","2020-10-01T15:17:06.000Z","ValveSubModel","SZC","MCSTMJ","","","","","","","=ORDASH","=ORDASH","=","","","","","",""
"","0050v000003a4XQAAY","2020-08-03T11:58:29.000Z","USD","a840v0000000Lp2AAE","false","","0050v000003iwNrAAI","2020-10-01T15:17:06.000Z","","","a5S8A0000009OX0","","","","","0050v000003a4XQAAY","PVRVHighPressureBody","2020-10-01T15:17:06.000Z","ASYTYP","ValveSubModel","SZC","BODYDESIGN","","","","","","=","=ORDASH","=ORDASH","=ORDASH","","","","",""
"","0050v000003a4XQAAY","2020-08-03T11:58:29.000Z","USD","a840v0000000Lp3AAE","false","","0050v000003iwNrAAI","2020-10-01T15:17:06.000Z","","","a5S8A0000009OX2","","","","","0050v000003a4XQAAY","RemoteSense","2020-10-01T15:17:06.000Z","ASYTYP","RemoteSense","","","","","","","","=","=ORDASH","","","","","","",""
"","0050v000003a4XQAAY","2020-08-03T11:58:29.000Z","USD","a840v0000000Lp4AAE","false","","0050v000003iwNrAAI","2020-10-01T15:17:06.000Z","","","a5S8A0000009OXF","","","","","0050v000003a4XQAAY","WeightSettingPressure","2020-10-01T15:17:06.000Z","ValveSubModel","SZC","PosLoad","MCBODY","MCWGHT","","","","","=ORDASH","=ORDASH","=","=ORDASH","=ORDASH","","","",""
"","0050v000003a4XQAAY","2020-08-03T11:58:29.000Z","USD","a840v0000000Lp5AAE","false","","0050v000003iwNrAAI","2020-10-01T15:17:06.000Z","","","a5S8A0000009OWb","","","","","0050v000003a4XQAAY","AssemblyLocation","2020-10-01T15:17:06.000Z","ASSYLOCATION","","","","","","","","","=","","","","","","","",""
"","0050v000003a4XQAAY","2020-08-03T11:58:29.000Z","USD","a840v0000000Lp6AAE","false","","0050v000003iwNrAAI","2020-10-01T15:17:06.000Z","","","a5S8A0000009OWt","","","","","0050v000003a4XQAAY","ModelBase","2020-10-01T15:17:06.000Z","ValveSubModel","SZC","MCBODY","MCSEAT","MCPALL","MCDPHM","MCPSGD","MCVPAL","","=","=","=","=","=","=","=","=ORDASH",""
"","0050v000003a4XQAAY","2020-08-03T11:58:29.000Z","USD","a840v0000000Lp7AAE","false","","0050v000003iwNrAAI","2020-10-01T15:17:06.000Z","","","a5S8A0000009OWz","","","","","0050v000003a4XQAAY","Proximity Sensor","2020-10-01T15:17:06.000Z","POSPROXSENSOR","VACPROXSENSOR","","","","","","","","=","=","","","","","","",""
"","0050v000003a4XQAAY","2020-08-03T11:58:29.000Z","USD","a840v0000000Lp8AAE","false","","0050v000003iwNrAAI","2020-10-01T15:17:06.000Z","","","a5S8A0000009OWx","","","","","0050v000003a4XQAAY","PositiveMaterialIdentification","2020-10-01T15:17:06.000Z","PMI","","","","","","","","","=","","","","","","","",""
