"AbvMatlDesc__c","Attach__c","CDC_Ext_ID__c","Density__c","Flag__c","HolderPartCode__c","LowerTemp__c","MatlCode__c","Matl__c","OBSOLETE__c","OldAbvMatlDesc__c","OldMatlDesc__c","SealUpperTemp__c","TagMatlDesc__c","UpperTemp__c"
"FDA/USP VI PTFE","","87","1","","","-321","0Q1","FDA Grade/USP Class VI PTFE","Q1","FDA/USP VI PTFE","FDA Grade/USP Cl VI PTFE","450","PTFE","450"
"A216-WCB","","88","","","","0","S20","ASTM A 216-WCB","A2","A-216-WCB","ASTM A-216-WCB","0","A216WCB","0"
"Flx Grpht","","89","","","","0","018","Flexible Graphite","18","Grfl","Grafoil","0","FG","0"
"Inconel(R) X-750","","90","0","","","0","0Z4","Inconel(R) X-750","Z4","Inc X-750","Inconel X-750","0","Inconel(R) X-750","0"
"Aly 20","","91","","","","0","0D4","Alloy 20","D4","Carpenter 20 Cb3","Carpenter 20 Cb3","0","Aly20","0"
"Belden(R) 3072F","","92","0","","","0","0T2","Belden(R) 3072F","T2","Bldn 3072F","Belden 3072F","0","Belden(R) 3072F","0"
"A194-2","","93","0","","","0","0DV","ASTM A 194-2","DV","","","0","A194-2","0"
"Gls","","94","0","","","0","0R9","Glass","R9","Gls","Glass","0","Gls","0"
"Plyimd","","95","0.0513","","","0","074","Polyimide","74","Kapton","Kapton","0","Plyimd","0"
"SA350-LF2","","96","","","","0","090","ASME SA-350-LF2","90","SA-350-LF2","ASME SA-350-GR-LF2","0","SA350LF2","0"
"Aflas(R)","","97","0","","","0","0U5","Aflas(R)","U5","Afls","Aflas","0","Aflas(R)","0"
"A320-B8 Cl 1","","98","0","","","0","0DR","ASTM A320-B8 Class 1","DR","","","0","A320-B8 Cl 1","0"
