Attribute__c,Numval1__c,Numval2__c,Text1Val__c,Text2Val__c,Text3Val__c,Text4Val__c,Text__c
TAGSPRGRANGE,,,3020A,,,,16 to 28 mbarg
PNMODEL,,,3020A,,,,3041HP0
